"Paragraph #","# of sentences"
1,3
2,2
3,1
4,1
5,5
6,2
7,2
8,1
9,7
10,4
11,3
12,4
13,2
14,3
15,2
16,4
17,1
18,1
19,2
20,2
21,1
22,1
23,2
24,9
25,2
26,2
27,2
28,6
29,3
30,2
31,1
32,2
33,3
34,2
35,2
36,9
37,3
38,2
39,2
40,3
41,2
42,8
43,3
44,2
45,2
46,7
47,2
48,3
49,2
50,2
51,8
52,3
53,4
54,2
55,2
56,5
57,4
58,1
59,6
60,6
61,2
62,2
63,1
64,3
65,2
66,3
67,4
68,6
69,3
70,4
71,5
72,3
73,8
74,3
75,4
76,3
77,2
78,3
79,3
80,1
81,1
82,1
83,3
84,4
85,3
86,2
87,2
88,2
89,2
90,14
91,2
92,2
93,2
94,2
95,2
96,2
97,5
98,1
99,1
100,2
101,1
102,4
103,1
104,4
105,1
106,2
107,7
108,8
109,1
110,3
111,2
112,2
113,2
114,6
115,2
116,8
117,1
118,2
119,1
120,4
121,5
122,2
123,3
124,2
125,4
126,2
127,3
128,2
129,4
130,1
131,1
132,3
133,6
134,3
135,2
136,3
137,2
138,2
139,1
140,1
141,2
142,6
143,9
144,3
145,3
146,3
147,3
148,1
149,2
150,6
151,1
152,2
153,2
154,2
155,1
156,3
157,2
158,1
159,3
160,2
161,4
162,1
163,1
164,2
165,2
166,3
167,2
168,2
169,1
170,5
171,2
172,2
173,1
174,3
175,2
176,3
177,2
178,2
179,2
180,2
181,2
182,11
183,2
184,2
185,2
186,3
187,2
188,2
189,2
190,5
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,3
199,4
200,2
201,1
202,1
203,2
204,4
205,2
206,2
207,2
208,1
209,1
210,3
211,2
212,2
213,4
214,1
215,2
216,1
217,6
218,2
219,2
220,1
221,1
222,1
223,2
224,2
225,1
226,2
227,6
228,2
229,1
230,2
231,3
232,2
233,1
234,2
235,2
236,2
237,5
238,2
239,2
240,2
241,2
242,1
243,5
244,1
245,2
246,2
247,2
248,9
249,2
250,2
251,1
252,4
253,2
254,3
255,1
256,1
257,2
258,3
259,1
260,1
261,1
262,2
263,2
264,1
265,2
266,3
267,2
268,4
269,1
270,1
271,2
272,2
273,5
274,2
275,1
276,1
277,3
278,2
279,2
280,2
281,3
282,2
283,3
284,4
285,3
286,5
287,2
288,2
289,1
290,5
291,2
292,1
293,4
294,2
295,1
296,2
297,4
298,2
299,3
300,2
301,3
302,3
303,2
304,13
305,4
306,2
307,3
308,2
309,2
310,3
311,2
312,2
313,2
314,2
315,5
316,7
317,2
318,4
319,2
320,2
321,2
322,4
323,4
324,4
325,1
326,3
327,4
328,2
329,4
330,2
331,3
332,2
333,2
334,2
335,3
336,1
337,2
338,2
339,1
340,2
341,2
342,4
343,2
344,1
345,3
346,3
347,2
348,3
349,2
350,2
351,2
352,3
353,3
354,3
355,3
356,2
357,2
358,2
359,3
360,2
361,2
362,4
363,4
364,5
365,2
366,1
,
"average",2.693989071
